PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
186,1535712661,4.607498,-35.532757,71.543854,1.285212,-0.592497,0.519085,0.039412,8.801019,2.32514
187,1535729328,4.541432,-35.389999,71.483978,1.184418,-0.719526,0.450734,-7.26539,6.897111,-2.562321
188,1535745995,4.371598,-35.411362,71.358253,1.020183,-0.665638,0.306245,-15.69746,-3.173877,-5.053992
189,1535762662,4.182869,-35.388298,71.16584,0.910733,-0.532457,-0.001094,-19.073473,-0.747495,-8.56294
190,1535779329,4.001652,-35.241619,70.897324,0.616406,-0.523884,-0.12074,-21.182005,6.407614,-12.864878
191,1535795996,3.851013,-34.985741,70.607147,0.350852,-0.467746,-0.18879,-19.996876,12.899415,-14.426531
192,1535812663,3.747463,-34.658855,70.351807,0.231859,-0.250553,-0.200812,-15.865572,17.283308,-13.046668
193,1535829330,3.622533,-34.286518,70.162888,0.212714,0.00932,-0.393296,-14.789411,20.235561,-9.9873
194,1535845997,3.361061,-33.878853,70.016769,0.270042,0.215292,-0.657084,-21.457106,22.522808,-7.986658
195,1535862664,2.967809,-33.463455,69.96759,0.280625,0.208483,-0.706799,-26.067209,23.320251,-3.097997
196,1535879331,2.484951,-33.273735,70.016388,0.169809,0.093178,-0.479487,-28.181101,10.073346,2.606068
197,1535895998,2.077717,-33.146229,70.164864,0.330603,0.231051,-0.380795,-20.361481,6.539683,7.828824
198,1535912665,1.790595,-32.958591,70.375114,0.357195,0.419209,-0.146168,-11.136518,10.230602,10.856283
199,1535929332,1.509394,-32.766571,70.63588,0.338331,0.564873,0.058924,-9.159561,10.547009,13.457588
200,1535945999,1.194953,-32.581944,70.889862,0.44649,0.5807,0.086603,-11.407271,10.066554,13.204268
201,1535962666,0.827963,-32.371426,71.140953,0.42101,0.496143,-0.008788,-14.685503,11.5804,13.110723
202,1535979333,0.367299,-32.167336,71.415779,0.387395,0.53942,-0.056856,-19.5786,11.151202,14.424398
203,1535996000,-0.125627,-31.949419,71.715256,0.387938,0.561595,-0.074732,-20.770142,11.904042,15.797441
204,1536012667,-0.611472,-31.810944,72.043198,0.464005,0.417096,0.105964,-19.480976,7.032349,17.345839
205,1536029334,-1.032587,-31.724337,72.386917,0.793548,0.590168,0.493125,-15.116852,3.807381,18.175045
206,1536046001,-1.386863,-31.655462,72.785706,0.983959,0.813751,0.894439,-9.369308,2.609458,20.993315
207,1536062668,-1.750253,-31.667677,73.272812,1.327956,1.053411,1.147392,-7.11575,-2.448554,25.380905
208,1536079335,-2.159415,-31.74922,73.832344,1.584047,1.244346,1.193691,-7.520258,-6.826101,28.888971
209,1536096002,-2.643057,-31.899784,74.396126,1.907692,1.302837,1.254075,-11.751945,-11.107975,28.825407
210,1536112669,-3.10471,-32.067242,74.890099,2.180272,1.096072,1.411276,-12.514957,-12.081256,25.061182
211,1536129336,-3.448827,-32.258667,75.230423,2.268562,0.941001,1.717494,-10.219604,-13.155683,17.022535
212,1536146003,-3.680437,-32.63562,75.475571,2.042706,0.841951,1.998194,-6.37115,-23.96525,11.36452
213,1536162670,-3.821365,-33.218384,75.678345,1.769524,0.824512,1.898115,-2.139375,-36.107704,8.251856
214,1536179337,-3.977619,-33.966885,75.862442,1.44115,0.782095,1.441236,-3.50597,-45.91629,6.443647
215,1536196004,-4.179497,-34.77969,76.004341,1.187943,0.596141,1.067682,-7.506226,-49.570599,3.836848
216,1536212671,-4.356584,-35.595142,76.080956,0.827025,0.272875,0.861416,-8.14345,-49.453537,0.37991
217,1536229338,-4.416287,-36.419628,76.115944,0.48902,0.070297,0.786928,-2.493239,-49.81126,-1.83208
218,1536246005,-4.374289,-37.270294,76.157921,0.245363,0.098365,0.613043,3.898322,-51.389969,-1.653213
219,1536262672,-4.290087,-38.168171,76.246727,0.37631,0.112752,0.478917,8.182096,-54.375587,0.375813
220,1536279339,-4.161264,-39.129799,76.35228,0.519036,0.084419,0.197077,11.561619,-58.233212,0.915223
221,1536296006,-3.98733,-40.140491,76.423004,0.653192,0.085048,-0.125347,13.030083,-61.038937,-0.830452
222,1536312673,-3.862319,-41.144409,76.516548,0.595227,-0.005541,-0.384431,11.060512,-60.689606,0.329505
223,1536329340,-3.788378,-42.177044,76.619781,0.41139,-0.013467,-0.560676,8.472012,-62.425163,0.669429
